CODIGO,INDICADOR,DISCIPLINA,SEDE,CLASES,DESCRIPCION
HAQB12,AC,AQUABEBE,HUANCHACO,12,AQUABEBE 12 clases - HUANCHACO
HNAT08,AC,NATACION,HUANCHACO,8,NATACION 8 clases - HUANCHACO
HNAT12,AC,NATACION,HUANCHACO,12,NATACION 12 clases - HUANCHACO
HNAT20,AC,NATACION,HUANCHACO,20,NATACION 20 clases - HUANCHACO
HOTRXX,AC,OTROS,HUANCHACO,,OTROS - HUANCHACO
LART08,AC,NAT_ARTISTICA,LIMA,8,NAT ARTISTICA 8 clases - LIMA
LART12,AC,NAT_ARTISTICA,LIMA,12,NAT ARTISTICA 12 clases - LIMA
LBCAXX,AC,BECA,LIMA,,BECA - LIMA
LCLV04,AC,CLAVADOS,LIMA,4,CLAVADOS 4 clases - LIMA
LCLV08,AC,CLAVADOS,LIMA,8,CLAVADOS 8 clases - LIMA
LCLV12,AC,CLAVADOS,LIMA,12,CLAVADOS 12 clases - LIMA
LCLV20,AC,CLAVADOS,LIMA,20,CLAVADOS 20 clases - LIMA
LCLVXX,AC,CLAVADOS,LIMA,,CLAVADOS - LIMA
LMASXX,AC,MASTER,LIMA,,MASTER - LIMA
LNAT02,AC,NATACION,LIMA,2,NATACION 2 clases - LIMA
LNAT03,AC,NATACION,LIMA,3,NATACION 3 clases - LIMA
LNAT04,AC,NATACION,LIMA,4,NATACION 4 clases - LIMA
LNAT06,AC,NATACION,LIMA,6,NATACION 6 clases - LIMA
LNAT08,AC,NATACION,LIMA,8,NATACION 8 clases - LIMA
LNAT09,AC,NATACION,LIMA,9,NATACION 9 clases - LIMA
LNAT11,AC,NATACION,LIMA,11,NATACION 11 clases - LIMA
LNAT12,AC,NATACION,LIMA,12,NATACION 12 clases - LIMA
LNAT20,AC,NATACION,LIMA,20,NATACION 20 clases - LIMA
LNAT26,AC,NATACION,LIMA,26,NATACION 26 clases - LIMA
LNATXX,AC,NATACION,LIMA,,NATACION - LIMA
LOTR02,AC,OTROS,LIMA,2,OTROS 2 clases - LIMA
LOTR03,AC,OTROS,LIMA,3,OTROS 3 clases - LIMA
LOTR04,AC,OTROS,LIMA,4,OTROS 4 clases - LIMA
LOTR08,AC,OTROS,LIMA,8,OTROS 8 clases - LIMA
LOTR12,AC,OTROS,LIMA,12,OTROS 12 clases - LIMA
LOTRXX,AC,OTROS,LIMA,,OTROS - LIMA
LPOL08,AC,POLO_ACUATICO,LIMA,8,POLO ACUATICO 8 clases - LIMA
LPOL12,AC,POLO_ACUATICO,LIMA,12,POLO ACUATICO 12 clases - LIMA
LPOLXX,AC,POLO_ACUATICO,LIMA,,POLO ACUATICO - LIMA
LRNTXX,AC,REINTEGRO,LIMA,,REINTEGRO - LIMA
LSEMXX,AC,SEMILLERO,LIMA,,SEMILLERO - LIMA
TAQB12,AC,AQUABEBE,TRUJILLO,12,AQUABEBE 12 clases - TRUJILLO
TAQBXX,AC,AQUABEBE,TRUJILLO,,AQUABEBE - TRUJILLO
TART06,AC,NAT_ARTISTICA,TRUJILLO,6,NAT ARTISTICA 6 clases - TRUJILLO
TART08,AC,NAT_ARTISTICA,TRUJILLO,8,NAT ARTISTICA 8 clases - TRUJILLO
TART12,AC,NAT_ARTISTICA,TRUJILLO,12,NAT ARTISTICA 12 clases - TRUJILLO
TART20,AC,NAT_ARTISTICA,TRUJILLO,20,NAT ARTISTICA 20 clases - TRUJILLO
TINC04,AC,INCLUSION,TRUJILLO,4,INCLUSION 4 clases - TRUJILLO
TINC08,AC,INCLUSION,TRUJILLO,8,INCLUSION 8 clases - TRUJILLO
TINC12,AC,INCLUSION,TRUJILLO,12,INCLUSION 12 clases - TRUJILLO
TNAT04,AC,NATACION,TRUJILLO,4,NATACION 4 clases - TRUJILLO
TNAT08,AC,NATACION,TRUJILLO,8,NATACION 8 clases - TRUJILLO
TNAT12,AC,NATACION,TRUJILLO,12,NATACION 12 clases - TRUJILLO
TNAT20,AC,NATACION,TRUJILLO,20,NATACION 20 clases - TRUJILLO
TNATXX,AC,NATACION,TRUJILLO,,NATACION - TRUJILLO
TOTR12,AC,OTROS,TRUJILLO,12,OTROS 12 clases - TRUJILLO
TOTRXX,AC,OTROS,TRUJILLO,,OTROS - TRUJILLO
TPOL06,AC,POLO_ACUATICO,TRUJILLO,6,POLO ACUATICO 6 clases - TRUJILLO
TPOL08,AC,POLO_ACUATICO,TRUJILLO,8,POLO ACUATICO 8 clases - TRUJILLO
TPOL12,AC,POLO_ACUATICO,TRUJILLO,12,POLO ACUATICO 12 clases - TRUJILLO
TPOL20,AC,POLO_ACUATICO,TRUJILLO,20,POLO ACUATICO 20 clases - TRUJILLO
TRHB04,AC,REHABILITACION,TRUJILLO,4,REHABILITACION 4 clases - TRUJILLO
TRHB08,AC,REHABILITACION,TRUJILLO,8,REHABILITACION 8 clases - TRUJILLO
TRHB12,AC,REHABILITACION,TRUJILLO,12,REHABILITACION 12 clases - TRUJILLO
TRNT08,AC,REINTEGRO,TRUJILLO,8,REINTEGRO 8 clases - TRUJILLO
VNAT04,AC,NATACION,VMT,4,NATACION 4 clases - VMT
VNAT08,AC,NATACION,VMT,8,NATACION 8 clases - VMT
VNAT12,AC,NATACION,VMT,12,NATACION 12 clases - VMT
VNATXX,AC,NATACION,VMT,,NATACION - VMT
VSEM20,AC,SEMILLERO,VMT,20,SEMILLERO 20 clases - VMT
VSEMXX,AC,SEMILLERO,VMT,,SEMILLERO - VMT